,Index,Coding Question #,Question Label,Question Text,Question Response,Answer Value
126,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,[Opt-in] - User must consent before data can be shared with or collected/used by third party.,Opt-in
127,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,"[Opt-out link] - Link provided in privacy policy, on website, in mobile app, or in email, etc.",Opt-out link
128,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,"[Opt-out via contacting company] - Must contact company/organization via email, phone, postal mail to opt-out.",Opt-out via contacting company
129,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,[First-party privacy controls] - Website/app provides user settings for privacy configuration.,First-party privacy controls
130,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,"[Third-party privacy controls] - Choices provided by a third party (e.g., privacy settings on social media site) or industry (e.g., AdChoices Opt-out).",Third-party privacy controls
131,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,"[Browser/device privacy controls] - Policy suggests the use of browser’s or mobile device’s privacy settings, e.g., to block trackers or cookies, activate Do-Not-Track, disable location sharing, clear history, etc.",Browser/device privacy controls
132,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,[Other] - Other specific user choice or control option not captured above.,Other
133,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,[Unspecified] - No user choices mentioned for this practice.,Unspecified
134,19,coding3_q19,User Choice/Control - Choice Scope,"What scope does the user choice or control apply to, i.e., first party collection/use or third party collection/use. Note that sometimes use of information can be limited, but the information is still collected from users.",[First party collection] - Choices apply to data collection by first party.,First party collection
135,19,coding3_q19,User Choice/Control - Choice Scope,"What scope does the user choice or control apply to, i.e., first party collection/use or third party collection/use. Note that sometimes use of information can be limited, but the information is still collected from users.",[First party use] - Choices apply to the use of information by first party.,First party use
136,19,coding3_q19,User Choice/Control - Choice Scope,"What scope does the user choice or control apply to, i.e., first party collection/use or third party collection/use. Note that sometimes use of information can be limited, but the information is still collected from users.",[Third party sharing/collection] - Choices apply to data sharing with / collection by third party.,Third party sharing/collection
137,19,coding3_q19,User Choice/Control - Choice Scope,"What scope does the user choice or control apply to, i.e., first party collection/use or third party collection/use. Note that sometimes use of information can be limited, but the information is still collected from users.",[Third party use] - Choices apply to the use of information by third party.,Third party use
138,19,coding3_q19,User Choice/Control - Choice Scope,"What scope does the user choice or control apply to, i.e., first party collection/use or third party collection/use. Note that sometimes use of information can be limited, but the information is still collected from users.",[Unspecified] - No specific scope of choices is mentioned.,Unspecified
139,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Financial] - Financial information, such as credit/debit card data, other payment information, credit scores, etc.",Financial
140,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Health] - Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.",Health
141,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Contact] - Contact Information, such as name, email address, phone number, street address, etc.",Contact
142,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Location] - Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.",Location
143,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Demographic] - Demographic Information, e.g., gender, age, occupation, education, etc.",Demographic
144,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Personal identifier] - Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.",Personal identifier
145,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[User online activities] - The user's online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc.",User online activities
146,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[User profile] - The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc.",User profile
147,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Social media data] - User profile and data from a social media website/app or other third party service to which the user gave the first party access, e.g., by connecting with Facebook, twitter, or other services. Exchanged data may include user profile, photos, comments, friends, etc.",Social media data
148,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[IP address and device IDs] - Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers needed to establish a connection for the current browsing session.",IP address and device IDs
149,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Cookies and tracking elements] - Identifiers locally stored on user's device by company/organization or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.",Cookies and tracking elements
150,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Computer information] - The type of operating system (OS) or web browser that the user uses, or similar computer or device information.",Computer information
151,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,[Survey data] - Any data that is collected through surveys,Survey data
152,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Generic personal information] - No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.",Generic personal information
153,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,[Other] - A specific type of information not covered by the above categories.,Other
154,20,coding3_q20,User Choice/Control - Personal Information Type,What category of information does the user choice apply to?,"[Unspecified] - The type of information is not explicitly stated or unclear (e.g., refers to ""information"" very generically).",Unspecified
155,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,"[Basic service/feature] - Provide a service that the user explicitly requests and that is part of the website/app's basic service or functionality. Examples are watching a video, reading an article, making a purchase, creating an account, contacting the company/organization, etc.",Basic service/feature
156,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,"[Additional service/feature] - Provide a service that the user explicitly requests but that is not a necessary part of the website/app's basic service. Additional services/features may enhance user experience or add convenience but require additional data, e.g., social media integration, comments, blog participation, a store finder that needs location information, etc.",Additional service/feature
157,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,[Advertising] - To show ads that are either targeted to the specific user or not targeted.,Advertising
158,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,"[Marketing] - To contact the user to offer products,services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.",Marketing
159,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,"[Analytics/Research] - For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research.",Analytics/Research
160,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,"[Personalization/Customization] - For providing user with a personalized experience, e.g., by allowing to arrange how the website/app looks, based on the user’s preferences or language, etc.",Personalization/Customization
161,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,"[Service Operation and Security] - For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc.",Service Operation and Security
162,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,"[Legal requirement] - For compliance with legal obligations, e.g., regulations, government data requests, government retention requests, law enforcement requests in general, etc.",Legal requirement
163,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,[Merger/Acquisition] - If company/organization merges or is acquired it transfers users' information to another company/organization.,Merger/Acquisition
164,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,[Other] - Other specific purpose not covered above.,Other
165,21,coding3_q21,User Choice/Control - Purpose,What purpose/use of information does the user choice apply to?,[Unspecified] - The purpose is not explicitly stated or is unclear.,Unspecified
166,22,coding3_q22,User Choice/Control - User Type,Use this optional attribute if this practice applies specifically to users with or without an account.,[User without account] - This data practice specifically applies to users that do not have an account or are not registered with the website or mobile app.,User without account
167,22,coding3_q22,User Choice/Control - User Type,Use this optional attribute if this practice applies specifically to users with or without an account.,[User with account] - This data practice specifically applies to users with an account or who are registered with the website or mobile app.,User with account
168,22,coding3_q22,User Choice/Control - User Type,Use this optional attribute if this practice applies specifically to users with or without an account.,[Other] - This data practice applies to a specific user type not covered by the options above.,Other
169,22,coding3_q22,User Choice/Control - User Type,Use this optional attribute if this practice applies specifically to users with or without an account.,[Unspecified] - It is not specified whether this practice applies to users with or without account.,Unspecified
170,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.","[None] - Users cannot access, edit, or delete data. Only select this if explicitly stated that users don't have access, otherwise select ""Unspecified.""",None
171,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.","[View] - Users can access their information, but not edit or delete it",View
172,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.",[Export] - Users can export their information to other services or download it to own computer.,Export
173,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.",[Edit information] - User can modify or delete specific information,Edit information
174,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.","[Deactivate account] - User can deactivate account so that the user’s information is not visible to other users anymore, but the company/organization keeps all the data.",Deactivate account
175,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.","[Delete account (partial)] - User can delete account, but the company/organization may continue to keep some of the user’s data.",Delete account (partial)
176,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.",[Delete account (full)] - User can delete account and all of the user’s information is removed from company/organization’s servers/databases.,Delete account (full)
177,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.","[Other] - An access, edit, or delete option not covered above.",Other
178,23,coding3_q23,"User Access, Edit and Deletion - Access Type","Options offered for users to access, edit, delete information that the company/organization has about them.",[Unspecified] - Access options are not mentioned or unclear.,Unspecified
179,24,coding3_q24,"User Access, Edit and Deletion - Access Scope","If access is offered, what data does it apply to.","[User account data] - Information explicitly provided by the user, such as contact,  demographic, and any other explicitly provided information that is part of the user’s profile/account. This includes user preferences and settings.",User account data
180,24,coding3_q24,"User Access, Edit and Deletion - Access Scope","If access is offered, what data does it apply to.","[Transactional data] - Purchases made, online activity, products watched, comments or questions submitted.",Transactional data
181,24,coding3_q24,"User Access, Edit and Deletion - Access Scope","If access is offered, what data does it apply to.","[Profile data] - Information that the company has learned about user, even if the user did not explicitly provided it",Profile data
182,24,coding3_q24,"User Access, Edit and Deletion - Access Scope","If access is offered, what data does it apply to.","[Other data about user] - Other information that the company/organization has learned about the user, e.g., inferred preferences, data from other third parties, etc.",Other data about user
183,24,coding3_q24,"User Access, Edit and Deletion - Access Scope","If access is offered, what data does it apply to.",[Other] - A specific access scope is described that is not covered above.,Other
184,24,coding3_q24,"User Access, Edit and Deletion - Access Scope","If access is offered, what data does it apply to.",[Unspecified] - Access scope is not mentioned or unclear.,Unspecified
185,25,coding3_q25,"User Access, Edit and Deletion - User Type",Use this optional attribute if this practice applies specifically to users with or without an account.,[User without account] - This data practice specifically applies to users that do not have an account or are not registered with the website or mobile app.,User without account
186,25,coding3_q25,"User Access, Edit and Deletion - User Type",Use this optional attribute if this practice applies specifically to users with or without an account.,[User with account] - This data practice specifically applies to users with an account or who are registered with the website or mobile app.,User with account
187,25,coding3_q25,"User Access, Edit and Deletion - User Type",Use this optional attribute if this practice applies specifically to users with or without an account.,[Other] - This data practice applies to a specific user type not covered by the options above.,Other
188,25,coding3_q25,"User Access, Edit and Deletion - User Type",Use this optional attribute if this practice applies specifically to users with or without an account.,[Unspecified] - It is not specified whether this practice applies to users with or without account.,Unspecified
189,26,coding3_q26,Data Retention - Retention Period,"Description of the retention period, i.e., how long data is stored.",[Indefinitely] - Collected user information is retained indefinitely.,Indefinitely
190,26,coding3_q26,Data Retention - Retention Period,"Description of the retention period, i.e., how long data is stored.","[Limited] - Data is deleted, anonymized, or aggregated at some point, but no specific retention period is stated, e.g., “only stored as long as needed to perform requested service” or “as required by legal obligations.”",Limited
191,26,coding3_q26,Data Retention - Retention Period,"Description of the retention period, i.e., how long data is stored.","[Stated Period] - Collected user information is deleted, anonymized or aggregated after a specific time period, e.g., “activity data is anonymized after 30 days.”",Stated Period
192,26,coding3_q26,Data Retention - Retention Period,"Description of the retention period, i.e., how long data is stored.",[Other] - A specific retention type not covered above.,Other
193,26,coding3_q26,Data Retention - Retention Period,"Description of the retention period, i.e., how long data is stored.",[Unspecified] - Retention period is not stated or unclear.,Unspecified
194,27,coding3_q27,Data Retention - Retention Purpose,The purpose to which the retention practice applies (may be “unspecified”).,[Perform service] - Collected user information is only stored as long as it is needed to perform the requested service.,Perform service
195,27,coding3_q27,Data Retention - Retention Purpose,The purpose to which the retention practice applies (may be “unspecified”).,[Legal requirement] - Collected data is only stored as long as required for legal or law enforcement purposes.,Legal requirement
196,27,coding3_q27,Data Retention - Retention Purpose,The purpose to which the retention practice applies (may be “unspecified”).,"[Analytics/Research] - For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research.",Analytics/Research
197,27,coding3_q27,Data Retention - Retention Purpose,The purpose to which the retention practice applies (may be “unspecified”).,"[Service operation and security] - For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc.",Service operation and security
198,27,coding3_q27,Data Retention - Retention Purpose,The purpose to which the retention practice applies (may be “unspecified”).,[Advertising] - To show ads that are either targeted to the specific user or not targeted.,Advertising
199,27,coding3_q27,Data Retention - Retention Purpose,The purpose to which the retention practice applies (may be “unspecified”).,"[Marketing] - To contact the user to offer products, services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.",Marketing
200,27,coding3_q27,Data Retention - Retention Purpose,The purpose to which the retention practice applies (may be “unspecified”).,[Other] - Other specific retention purpose not covered above.,Other
201,27,coding3_q27,Data Retention - Retention Purpose,The purpose to which the retention practice applies (may be “unspecified”).,[Unspecified] - The retention purpose is not explicitly stated or is unclear.,Unspecified
202,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Financial] - Financial information, such as credit/debit card data, other payment information, credit scores, etc.",Financial
203,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Health] - Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.",Health
204,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Contact] - Contact Information, such as name, email address, phone number, street address, etc.",Contact
205,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Location] - Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.",Location
206,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Demographic] - Demographic Information, e.g., gender, age, occupation, education, etc.",Demographic
207,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Personal identifier] - Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.",Personal identifier
208,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[User online activities] - The user's online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc.",User online activities
209,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[User profile] - The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc.",User profile
210,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Social media data] - User profile and data from a social media website/app or other third party service to which the user gave the first party access, e.g., by connecting with Facebook, twitter, or other services. Exchanged data may include user profile, photos, comments, friends, etc.",Social media data
211,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[IP address and device IDs] - Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers needed to establish a connection for the current browsing session.",IP address and device IDs
212,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Cookies and tracking elements] - Identifiers locally stored on user's device by website or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.",Cookies and tracking elements
213,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Computer information] - The type of operating system (OS) or web browser that the user uses, or similar computer or device information.",Computer information
214,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,[Survey data] - Any data that is collected through surveys,Survey data
215,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Generic personal information] - No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.",Generic personal information
216,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,[Other] - A specific type of information not covered by the above categories.,Other
217,28,coding3_q28,Data Retention - Personal Information Type,The information type for which the retention period is specified (may be “unspecified”).,"[Unspecified] - The type of information is not explicitly stated or unclear (e.g., refers to ""information"" very generically).",Unspecified
218,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,"[Secure data transfer] - Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",Secure data transfer
219,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,"[Secure user authentication] - User authentication, e.g., login to a user account, is encrypted/secured.",Secure user authentication
220,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,"[Secure data storage] - Data is stored securely, e.g. in an encrypted format or database.",Secure data storage
221,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,[Data access limitation] - Data is accessible to employees/third parties on a need-to-know basis.,Data access limitation
222,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,[Privacy training] - The company/organization trains its employees/third parties in applicable privacy and security practices to protect user data.,Privacy training
223,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,[Privacy review/audit] - Privacy practices and security measures of the first party or third party are reviewed/audited by internal or external reviewers/auditors.,Privacy review/audit
224,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,"[Privacy/Security program] - The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",Privacy/Security program
225,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,"[Generic] - The policy makes generic security statements, e.g., “we protect your data” or “we use technology/encryption to protect your data.”",Generic
226,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,[Other] - A specific security measure not covered above.,Other
227,29,coding3_q29,Data Security - Security Measure,Policy statements that describe the type of security that the website/app implements to protect users’ information.,[Unspecified] - Security measures are not mentioned or unclear.,Unspecified
228,30,coding3_q30,Policy Change - Change Type,For what type of changes to the website/app’s policy are users notified.,[Non-privacy relevant change] - Minor change to the privacy policy that does not significantly affect data practices.,Non-privacy relevant change
229,30,coding3_q30,Policy Change - Change Type,For what type of changes to the website/app’s policy are users notified.,"[Privacy relevant change] - A change to the privacy policy significantly impacting current data practices, e.g., use, collection, sharing, retention, etc.",Privacy relevant change
230,30,coding3_q30,Policy Change - Change Type,For what type of changes to the website/app’s policy are users notified.,[In case of merger or acquisition] - Users are notified if the policy changes as the result of a merger or acquisition.,In case of merger or acquisition
231,30,coding3_q30,Policy Change - Change Type,For what type of changes to the website/app’s policy are users notified.,[Other] - Other specific policy change type not covered above.,Other
232,30,coding3_q30,Policy Change - Change Type,For what type of changes to the website/app’s policy are users notified.,[Unspecified] - It is not mentioned or unclear for what kind of policy changes users are notified.,Unspecified
233,31,coding3_q31,Policy Change - Notification Type,How is the user notified when the privacy policy changes.,[No notification] - User is not notified of changes to the privacy policy.,No notification
234,31,coding3_q31,Policy Change - Notification Type,How is the user notified when the privacy policy changes.,[General notice in privacy policy] - The policy date is updated or information about the change is posted as part of the privacy policy site.,General notice in privacy policy
235,31,coding3_q31,Policy Change - Notification Type,How is the user notified when the privacy policy changes.,"[General notice on website] - Users will be notified when visiting the main website, i.e., not only when looking at the privacy policy.",General notice on website
236,31,coding3_q31,Policy Change - Notification Type,How is the user notified when the privacy policy changes.,"[Personal notice] - Users will be personally informed about a privacy policy change, e.g., via email, text message or when logging into their account.",Personal notice
237,31,coding3_q31,Policy Change - Notification Type,How is the user notified when the privacy policy changes.,[Other] - Users are notified in another specific way not covered above.,Other
238,31,coding3_q31,Policy Change - Notification Type,How is the user notified when the privacy policy changes.,[Unspecified] - How users are notified about policy changes is not mentioned or unclear.,Unspecified
239,32,coding3_q32,Policy Change - User Choice,What choices/options are offered to the user when the policy changes.,[None] - The user has no options when the policy changes.,None
240,32,coding3_q32,Policy Change - User Choice,What choices/options are offered to the user when the policy changes.,"[Opt-out] - Users can decline the new policy within a certain time period (e.g., 30 days), e.g., by canceling their account, opting-out of new practices, etc.",Opt-out
241,32,coding3_q32,Policy Change - User Choice,What choices/options are offered to the user when the policy changes.,[Opt-in] - User must agree before their data is collected/used/shared according to the new privacy policy.,Opt-in
242,32,coding3_q32,Policy Change - User Choice,What choices/options are offered to the user when the policy changes.,"[User participation] - Users can decide or influence policy change (e.g., the company/organization proposes a change and asks for users' opinions).",User participation
243,32,coding3_q32,Policy Change - User Choice,What choices/options are offered to the user when the policy changes.,[Other] - Other specific user choice not covered above.,Other
244,32,coding3_q32,Policy Change - User Choice,What choices/options are offered to the user when the policy changes.,[Unspecified] - Choices regarding policy changes are not mentioned or unclear.,Unspecified
245,33,coding3_q33,Do Not Track - Do Not Track policy,If and how Do-Not-Track signals (DNT) are honored.,[Not mentioned] - There is no statement concerning Do Not Track,Not mentioned
246,33,coding3_q33,Do Not Track - Do Not Track policy,If and how Do-Not-Track signals (DNT) are honored.,[Honored] - The website/app reads and adheres to the user's DNT preference,Honored
247,33,coding3_q33,Do Not Track - Do Not Track policy,If and how Do-Not-Track signals (DNT) are honored.,[Not honored] - The website/app ignores DNT headers and the user’s DNT preference.,Not honored
248,33,coding3_q33,Do Not Track - Do Not Track policy,If and how Do-Not-Track signals (DNT) are honored.,"[Mentioned, but unclear if honored] - DNT headers are mentioned but it is unclear if the company/organization adheres to the user's DNT preference.","Mentioned, but unclear if honored"
249,33,coding3_q33,Do Not Track - Do Not Track policy,If and how Do-Not-Track signals (DNT) are honored.,[Other] - The website/app handles DNT headers in a different way not covered above.,Other
250,34,coding3_q34,International and Specific Audiences - Audience Type,Select which audience the policy segment refers to,"[Californians] - How data from Californian users is treated, e.g., California privacy rights.",Californians
251,34,coding3_q34,International and Specific Audiences - Audience Type,Select which audience the policy segment refers to,"[Europeans] - How data from European users is treated, e.g., Safe Harbor provisions.",Europeans
252,34,coding3_q34,International and Specific Audiences - Audience Type,Select which audience the policy segment refers to,"[Citizens from other countries] - Specific provisions for international audiences or citizens from countries other than US or Europe, e.g., international data transfer.",Citizens from other countries
253,34,coding3_q34,International and Specific Audiences - Audience Type,Select which audience the policy segment refers to,[Children] - How data from children is treated.,Children
254,34,coding3_q34,International and Specific Audiences - Audience Type,Select which audience the policy segment refers to,[Other] - Other specific audience group not mentioned above.,Other
255,35,coding3_q35,Other - Other Type,What other aspect not covered in the other categories is discussed in the text segment?,"[Introductory/Generic] - It's a paragraph that introduces the policy, a section, or a group of practices, but does not mention a specific privacy/data practice. The paragraph makes generic statements, but does not describe specific privacy/data practices",Introductory/Generic
256,35,coding3_q35,Other - Other Type,What other aspect not covered in the other categories is discussed in the text segment?,"[Practice not covered] - The paragraph describes a specific data practice, which is not covered by any of the other data practice categories.",Practice not covered
257,35,coding3_q35,Other - Other Type,What other aspect not covered in the other categories is discussed in the text segment?,"[Privacy contact information] - The paragraph describes how to contact the company with questions, concerns, or complaints about the privacy policy.",Privacy contact information
258,35,coding3_q35,Other - Other Type,What other aspect not covered in the other categories is discussed in the text segment?,[Other] - The paragraph does not fit any of the values above.,Other
