,Index,Coding Question #,Question Identifier,Question Type,Question Label,Question Text,Question Response,Answer Value
101,42,coding7_q42,v12.1_2020(3),breakout-option,['[ 3 ] - Advertising [To show ads that are either targeted to the specific user or not targeted]'],['[ 3 ] - Advertising [To show ads that are either targeted to the specific user or not targeted]'],SELECT THIS FIELD,1
102,42,coding7_q42,v12.1_2020(3),breakout-option,['[ 3 ] - Advertising [To show ads that are either targeted to the specific user or not targeted]'],['[ 3 ] - Advertising [To show ads that are either targeted to the specific user or not targeted]'],(unselect),0
103,43,coding7_q43,v12.1_2020(4),breakout-option,"['[ 4 ] - Marketing [To contact the user to offer products,services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information]']","['[ 4 ] - Marketing [To contact the user to offer products,services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information]']",SELECT THIS FIELD,1
104,43,coding7_q43,v12.1_2020(4),breakout-option,"['[ 4 ] - Marketing [To contact the user to offer products,services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information]']","['[ 4 ] - Marketing [To contact the user to offer products,services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information]']",(unselect),0
105,44,coding7_q44,v12.1_2020(5),breakout-option,"['[ 5 ] - Analytics/Research,[For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]']","['[ 5 ] - Analytics/Research,[For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]']",SELECT THIS FIELD,1
106,44,coding7_q44,v12.1_2020(5),breakout-option,"['[ 5 ] - Analytics/Research,[For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]']","['[ 5 ] - Analytics/Research,[For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]']",(unselect),0
107,45,coding7_q45,v12.1_2020(6),breakout-option,"['[ 6 ] - Personalization/Customization, [For providing user with a personalized experience, e.g., by allowing to arrange how the website/app looks, based on the user’s preferences or language, etc.]']","['[ 6 ] - Personalization/Customization, [For providing user with a personalized experience, e.g., by allowing to arrange how the website/app looks, based on the user’s preferences or language, etc.]']",SELECT THIS FIELD,1
108,45,coding7_q45,v12.1_2020(6),breakout-option,"['[ 6 ] - Personalization/Customization, [For providing user with a personalized experience, e.g., by allowing to arrange how the website/app looks, based on the user’s preferences or language, etc.]']","['[ 6 ] - Personalization/Customization, [For providing user with a personalized experience, e.g., by allowing to arrange how the website/app looks, based on the user’s preferences or language, etc.]']",(unselect),0
109,46,coding7_q46,v12.1_2020(7),breakout-option,"['[ 7 ] - Service Operation and Security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, et]']","['[ 7 ] - Service Operation and Security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, et]']",SELECT THIS FIELD,1
110,46,coding7_q46,v12.1_2020(7),breakout-option,"['[ 7 ] - Service Operation and Security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, et]']","['[ 7 ] - Service Operation and Security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, et]']",(unselect),0
111,47,coding7_q47,v12.1_2020(8),breakout-option,"['[ 8 ] - Legal requirement [For compliance with legal obligations, e.g., regulations, government data requests, government retention requests, law enforcement requests in general, etc.]']","['[ 8 ] - Legal requirement [For compliance with legal obligations, e.g., regulations, government data requests, government retention requests, law enforcement requests in general, etc.]']",SELECT THIS FIELD,1
112,47,coding7_q47,v12.1_2020(8),breakout-option,"['[ 8 ] - Legal requirement [For compliance with legal obligations, e.g., regulations, government data requests, government retention requests, law enforcement requests in general, etc.]']","['[ 8 ] - Legal requirement [For compliance with legal obligations, e.g., regulations, government data requests, government retention requests, law enforcement requests in general, etc.]']",(unselect),0
113,48,coding7_q48,v12.1_2020(9),breakout-option,"[""[ 9 ] - Merger/Acquisition [If company/organization merges or is acquired it transfers users' information to another company/organization--Note: this variable is satisfied if the firm states that it will share the personal information in case it gets bought or merges with another firm]""]","[""[ 9 ] - Merger/Acquisition [If company/organization merges or is acquired it transfers users' information to another company/organization--Note: this variable is satisfied if the firm states that it will share the personal information in case it gets bought or merges with another firm]""]",SELECT THIS FIELD,1
114,48,coding7_q48,v12.1_2020(9),breakout-option,"[""[ 9 ] - Merger/Acquisition [If company/organization merges or is acquired it transfers users' information to another company/organization--Note: this variable is satisfied if the firm states that it will share the personal information in case it gets bought or merges with another firm]""]","[""[ 9 ] - Merger/Acquisition [If company/organization merges or is acquired it transfers users' information to another company/organization--Note: this variable is satisfied if the firm states that it will share the personal information in case it gets bought or merges with another firm]""]",(unselect),0
115,49,coding7_q49,v12.1_2020(10),breakout-option,['[ 10 ] - Other [Other specific purpose not covered above]'],['[ 10 ] - Other [Other specific purpose not covered above]'],SELECT THIS FIELD,1
116,49,coding7_q49,v12.1_2020(10),breakout-option,['[ 10 ] - Other [Other specific purpose not covered above]'],['[ 10 ] - Other [Other specific purpose not covered above]'],(unselect),0
117,50,coding7_q50,v13_2020,multiselect,Notice - Use of Data,"Company commits to use PII (personally identifiable information) data only for stated context specific purposes. These are purposes that a user would expect in the context of the service provided.  E.g., what you post to a message board must be made public for a message board to work)?",[ 0 ] - no,0
118,50,coding7_q50,v13_2020,multiselect,Notice - Use of Data,"Company commits to use PII (personally identifiable information) data only for stated context specific purposes. These are purposes that a user would expect in the context of the service provided.  E.g., what you post to a message board must be made public for a message board to work)?",[ 1 ] - yes,1
119,50,coding7_q50,v13_2020,multiselect,Notice - Use of Data,"Company commits to use PII (personally identifiable information) data only for stated context specific purposes. These are purposes that a user would expect in the context of the service provided.  E.g., what you post to a message board must be made public for a message board to work)?","[ 2 ] - yes, but there are other terms in the policy that conflict with such commitment",2
120,51,coding7_q51,v16.1_2020,multiselect,Notice - Use of Data/Collection/Choice,Are users given a choice regarding the collection of user information by the company?,[ 0 ] - no,0
121,51,coding7_q51,v16.1_2020,multiselect,Notice - Use of Data/Collection/Choice,Are users given a choice regarding the collection of user information by the company?,[ 1 ] - yes,1
122,51,coding7_q51,v16.1_2020,multiselect,Notice - Use of Data/Collection/Choice,Are users given a choice regarding the collection of user information by the company?,[ DND ] - Does not disclose,DND
123,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 0 ] - Don't use service/feature (i.e., user must stop using service, terminate account, leave page)/mandatory [Only option is not to use the feature or service. Only select this if explicitly stated in policy (i.e., don't interpret silence as """"Don't use website or feature""]",0
124,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 1 ] - Opt-out [The default is for the user to share PII with third parties, but the PP gives the user the opportunity to opt out]",1
125,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 2 ] - opt-in, [User must consent before data can be shared with or collected/used by third party]",2
126,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 3 ] - Opt-out link [Link provided in privacy policy, on website, in mobile app, or in email, etc.]",3
127,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 4 ] - Opt-out via contacting company, [Must contact company/organization via email, phone, postal mail to opt-out]",4
128,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,[ 5 ] - First-party privacy controls (might have to go to site to check to see if collection is an option) [Website/app provides user settings for privacy configuration],5
129,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 6 ] - Third-party privacy controls, [Choices provided by a third party (e.g., privacy settings on social media site, if logged in through social media site) or industry (e.g., AdChoices Opt-out)]",6
130,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 7 ] - Browser/device privacy controls (if the PP specifies this as an option the user can adopt)[Policy suggests the use of browser’s or mobile device’s privacy settings, e.g., to block trackers or cookies, activate Do-Not-Track, disable location sharing, clear history, etc.</description>]",7
131,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 8 ] - Other, [Other specific user choice or control option not captured above.]",8
132,52,coding7_q52,v16.2_2020,multiselect,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ DND ] - does not disclose """,DND
133,53,coding7_q53,v16.3_2020,multiselect,Notice - Use of Data/Collection/Choice,"What is the choice scope regarding the firm's collection and use of information? (i.e., Is the user given a choice regarding the collection, use, or both collection and use of information by the firm?)",[ 0 ] - no choice,0
134,53,coding7_q53,v16.3_2020,multiselect,Notice - Use of Data/Collection/Choice,"What is the choice scope regarding the firm's collection and use of information? (i.e., Is the user given a choice regarding the collection, use, or both collection and use of information by the firm?)",[ 1 ] - Collection,1
135,53,coding7_q53,v16.3_2020,multiselect,Notice - Use of Data/Collection/Choice,"What is the choice scope regarding the firm's collection and use of information? (i.e., Is the user given a choice regarding the collection, use, or both collection and use of information by the firm?)",[ 2 ] - Use,2
136,53,coding7_q53,v16.3_2020,multiselect,Notice - Use of Data/Collection/Choice,"What is the choice scope regarding the firm's collection and use of information? (i.e., Is the user given a choice regarding the collection, use, or both collection and use of information by the firm?)",[ 3 ] - Both,3
137,53,coding7_q53,v16.3_2020,multiselect,Notice - Use of Data/Collection/Choice,"What is the choice scope regarding the firm's collection and use of information? (i.e., Is the user given a choice regarding the collection, use, or both collection and use of information by the firm?)",[ DND ] - does not disclose,DND
138,54,coding7_q54,v16.4_2020,multiselect,Notice - 3rd parties,Company identifies the type of third parties who are allowed to collect or receive shared user information,"[ 0 ] - Unnamed third party [The third party is not explicitly named, i.e., it is just generically referred to as ""third-party,"" ""partner,"" or similar]",0
139,54,coding7_q54,v16.4_2020,multiselect,Notice - 3rd parties,Company identifies the type of third parties who are allowed to collect or receive shared user information,"[ 1 ] - category of third party identified (in compliance with CCPA) [e.g. ""data broker,"" ""advertising partners.""]",1
140,54,coding7_q54,v16.4_2020,multiselect,Notice - 3rd parties,Company identifies the type of third parties who are allowed to collect or receive shared user information,[ 2 ] - Named third party [The third party is explicitly named (e.g. Facebook)],2
141,54,coding7_q54,v16.4_2020,multiselect,Notice - 3rd parties,Company identifies the type of third parties who are allowed to collect or receive shared user information,"[ 3 ] - Other part of company/affiliate, [Data is made available to other parts of the company/organization, e.g., it is shared with other services, apps, or websites operated by the company, could also be data exchange between online and offline company units (e.g. physical stores)]",3
142,54,coding7_q54,v16.4_2020,multiselect,Notice - 3rd parties,Company identifies the type of third parties who are allowed to collect or receive shared user information,"[ 4 ] - Other users, [The third-party involved are other users of the first party website or mobile app.]",4
143,54,coding7_q54,v16.4_2020,multiselect,Notice - 3rd parties,Company identifies the type of third parties who are allowed to collect or receive shared user information,"[ 5 ] - Other, [Other specific third-party entity not covered above.]",5
144,54,coding7_q54,v16.4_2020,multiselect,Notice - 3rd parties,Company identifies the type of third parties who are allowed to collect or receive shared user information,[ 6 ] - Public  [User information is made public or can be obtained from public sources]Other specific third-party entity not covered above.,6
145,54,coding7_q54,v16.4_2020,multiselect,Notice - 3rd parties,Company identifies the type of third parties who are allowed to collect or receive shared user information,[ DND ] - does not disclose,DND
146,55,coding7_q55,v17_2020,multiselect,Notice - 3rd parties,Third party tracking: site allows third parties to place advertisements that may track user behavior?,[ 0 ] - no,0
147,55,coding7_q55,v17_2020,multiselect,Notice - 3rd parties,Third party tracking: site allows third parties to place advertisements that may track user behavior?,[ 1 ] - yes,1
148,55,coding7_q55,v17_2020,multiselect,Notice - 3rd parties,Third party tracking: site allows third parties to place advertisements that may track user behavior?,[ DND ] - 'does not disclose',DND
149,56,coding7_q56,v18_2020,multiselect,Notice - 3rd parties,PP identifies third party recipients of shared or sold data? (General question),"[ 0 ] - gen'l ID (""trusted 3rd parties"")",0
150,56,coding7_q56,v18_2020,multiselect,Notice - 3rd parties,PP identifies third party recipients of shared or sold data? (General question),[ 1 ] - specific/named entity or named category of third party,1
151,56,coding7_q56,v18_2020,multiselect,Notice - 3rd parties,PP identifies third party recipients of shared or sold data? (General question),[ DND ] - Does not disclose,DND
152,57,coding7_q57,v19_2020,multiselect,Notice - 3rd parties,"PP defines words such as ""affiliates"" or ""third parties"" if it uses them? (i.e.. the policy includes definitions of what it means by these categories; examples are not enough to classify as a definition)",[ 0 ] - no,0
153,57,coding7_q57,v19_2020,multiselect,Notice - 3rd parties,"PP defines words such as ""affiliates"" or ""third parties"" if it uses them? (i.e.. the policy includes definitions of what it means by these categories; examples are not enough to classify as a definition)",[ 1 ] - yes,1
154,57,coding7_q57,v19_2020,multiselect,Notice - 3rd parties,"PP defines words such as ""affiliates"" or ""third parties"" if it uses them? (i.e.. the policy includes definitions of what it means by these categories; examples are not enough to classify as a definition)",[ . ] - n/a,.
155,58,coding7_q58,v20_2020,multiselect,Sharing - privacy practices,"Are affiliates and/or subsidiaries (specifically) bound by the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?",[ 0 ] - no,0
156,58,coding7_q58,v20_2020,multiselect,Sharing - privacy practices,"Are affiliates and/or subsidiaries (specifically) bound by the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?",[ 1 ] - yes,1
157,58,coding7_q58,v20_2020,multiselect,Sharing - privacy practices,"Are affiliates and/or subsidiaries (specifically) bound by the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?",[ DND ] - does not disclose,DND
158,58,coding7_q58,v20_2020,multiselect,Sharing - privacy practices,"Are affiliates and/or subsidiaries (specifically) bound by the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?",[ . ] - n/a,.
159,59,coding7_q59,v21_2020,multiselect,Sharing - privacy practices,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by either the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",[ 0 ] - no,0
160,59,coding7_q59,v21_2020,multiselect,Sharing - privacy practices,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by either the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",[ 1 ] - yes,1
161,59,coding7_q59,v21_2020,multiselect,Sharing - privacy practices,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by either the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",[ DND ] - does not disclose,DND
162,59,coding7_q59,v21_2020,multiselect,Sharing - privacy practices,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by either the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",[ . ] - n/a,.
163,60,coding7_q60,v22_2020,multiselect,Sharing - privacy practices,Are third parties bound by the same privacy policy?,[ 0 ] - no,0
164,60,coding7_q60,v22_2020,multiselect,Sharing - privacy practices,Are third parties bound by the same privacy policy?,[ 1 ] - yes,1
165,60,coding7_q60,v22_2020,multiselect,Sharing - privacy practices,Are third parties bound by the same privacy policy?,[ DND ] - does not disclose,DND
166,60,coding7_q60,v22_2020,multiselect,Sharing - privacy practices,Are third parties bound by the same privacy policy?,"[ . ] - n/a [this would be applicable if, for example, the company did not share information with third parties]",.
167,61,coding7_q61,v23_2020,multiselect,Sharing - 3rd parties,Affiliate Sharing: Does company share non-PII information with affiliates? ,[ 0 ] - no,0
168,61,coding7_q61,v23_2020,multiselect,Sharing - 3rd parties,Affiliate Sharing: Does company share non-PII information with affiliates? ,[ 1 ] - yes,1
169,62,coding7_q62,v24_2020,multiselect,Sharing - 3rd parties,"Affiliate Sharing: Does company share PII (i.e., personally identifiable)  information with affiliates?",[ 0 ] - no,0
170,62,coding7_q62,v24_2020,multiselect,Sharing - 3rd parties,"Affiliate Sharing: Does company share PII (i.e., personally identifiable)  information with affiliates?",[ 1 ] - yes,1
171,63,coding7_q63,v25_2020,multiselect,Sharing - 3rd parties,Third party Sharing: Does company share PII information with third parties? (general question),[ 0 ] - no,0
172,63,coding7_q63,v25_2020,multiselect,Sharing - 3rd parties,Third party Sharing: Does company share PII information with third parties? (general question),[ 1 ] - yes,1
173,63,coding7_q63,v25_2020,multiselect,Sharing - 3rd parties,Third party Sharing: Does company share PII information with third parties? (general question),[ DND ] - does not disclose,DND
174,64,coding7_q64,v26_2020,multiselect,Sharing - 3rd Parties,"Does company share non-PII data with third parties? (e.g., aggregate or anonymized data)",[ 0 ] - no,0
175,64,coding7_q64,v26_2020,multiselect,Sharing - 3rd Parties,"Does company share non-PII data with third parties? (e.g., aggregate or anonymized data)",[ 1 ] - yes,1
176,65,coding7_q65,v27_2020,multiselect,Sharing - 3rd Parties,Entity performs due diligence to ensure legitimacy of 3rd parties that have access to data?,[ 0 ] - no,0
177,65,coding7_q65,v27_2020,multiselect,Sharing - 3rd Parties,Entity performs due diligence to ensure legitimacy of 3rd parties that have access to data?,[ 1 ] - yes,1
178,65,coding7_q65,v27_2020,multiselect,Sharing - 3rd Parties,Entity performs due diligence to ensure legitimacy of 3rd parties that have access to data?,[ DND ] - does not disclose,DND
179,66,coding7_q66,v28_2020,multiselect,Sharing - 3rd Parties,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,[ 0 ] - no,0
180,66,coding7_q66,v28_2020,multiselect,Sharing - 3rd Parties,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,[ 1 ] - yes,1
181,66,coding7_q66,v28_2020,multiselect,Sharing - 3rd Parties,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,[ DND ] - does not disclose,DND
182,66,coding7_q66,v28_2020,multiselect,Sharing - 3rd Parties,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,[ . ] - n/a,.
183,67,coding7_q67,v29_2020,multiselect,Sharing - 3rd Parties,"PP provides links to relevant 3rd parties' PP's? (sometimes the PP includes links to third party privacy policies, usually when it states that any engagement with third parties will be governed by third party privacy policies",[ 0 ] - no,0
184,67,coding7_q67,v29_2020,multiselect,Sharing - 3rd Parties,"PP provides links to relevant 3rd parties' PP's? (sometimes the PP includes links to third party privacy policies, usually when it states that any engagement with third parties will be governed by third party privacy policies",[ 1 ] - yes,1
185,67,coding7_q67,v29_2020,multiselect,Sharing - 3rd Parties,"PP provides links to relevant 3rd parties' PP's? (sometimes the PP includes links to third party privacy policies, usually when it states that any engagement with third parties will be governed by third party privacy policies",[ . ] - n/a (in cases where there are no relationships with third parties of any sort),.
186,69,coding7_q69,v29.1_2020(1),breakout-option,"['[ 1 ] - Financial,[Financial information, such as credit/debit card data, other payment information, credit scores, etc]']","['[ 1 ] - Financial,[Financial information, such as credit/debit card data, other payment information, credit scores, etc]']",SELECT THIS FIELD,1
187,69,coding7_q69,v29.1_2020(1),breakout-option,"['[ 1 ] - Financial,[Financial information, such as credit/debit card data, other payment information, credit scores, etc]']","['[ 1 ] - Financial,[Financial information, such as credit/debit card data, other payment information, credit scores, etc]']",(unselect),0
188,70,coding7_q70,v29.1_2020(2),breakout-option,"['[ 2 ] - Health, [Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.]']","['[ 2 ] - Health, [Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.]']",SELECT THIS FIELD,1
189,70,coding7_q70,v29.1_2020(2),breakout-option,"['[ 2 ] - Health, [Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.]']","['[ 2 ] - Health, [Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.]']",(unselect),0
190,71,coding7_q71,v29.1_2020(3),breakout-option,"['[ 3 ] - Contact,[Contact Information, such as name, email address, phone number, street address, etc]']","['[ 3 ] - Contact,[Contact Information, such as name, email address, phone number, street address, etc]']",SELECT THIS FIELD,1
191,71,coding7_q71,v29.1_2020(3),breakout-option,"['[ 3 ] - Contact,[Contact Information, such as name, email address, phone number, street address, etc]']","['[ 3 ] - Contact,[Contact Information, such as name, email address, phone number, street address, etc]']",(unselect),0
192,72,coding7_q72,v29.1_2020(4),breakout-option,"[""[ 4 ] - Location, including bluetooth [Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.]""]","[""[ 4 ] - Location, including bluetooth [Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.]""]",SELECT THIS FIELD,1
193,72,coding7_q72,v29.1_2020(4),breakout-option,"[""[ 4 ] - Location, including bluetooth [Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.]""]","[""[ 4 ] - Location, including bluetooth [Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.]""]",(unselect),0
194,73,coding7_q73,v29.1_2020(5),breakout-option,"['[ 5 ] - Demographic,[Demographic Information, e.g., gender, age, occupation, education, etc.]']","['[ 5 ] - Demographic,[Demographic Information, e.g., gender, age, occupation, education, etc.]']",SELECT THIS FIELD,1
195,73,coding7_q73,v29.1_2020(5),breakout-option,"['[ 5 ] - Demographic,[Demographic Information, e.g., gender, age, occupation, education, etc.]']","['[ 5 ] - Demographic,[Demographic Information, e.g., gender, age, occupation, education, etc.]']",(unselect),0
196,74,coding7_q74,v29.1_2020(6),breakout-option,"[""[ 6 ] - Personal identifier [Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.]""]","[""[ 6 ] - Personal identifier [Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.]""]",SELECT THIS FIELD,1
197,74,coding7_q74,v29.1_2020(6),breakout-option,"[""[ 6 ] - Personal identifier [Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.]""]","[""[ 6 ] - Personal identifier [Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.]""]",(unselect),0
198,75,coding7_q75,v29.1_2020(7),breakout-option,"[""[ 7 ] - User online activities [The user's online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc]""]","[""[ 7 ] - User online activities [The user's online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc]""]",SELECT THIS FIELD,1
199,75,coding7_q75,v29.1_2020(7),breakout-option,"[""[ 7 ] - User online activities [The user's online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc]""]","[""[ 7 ] - User online activities [The user's online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc]""]",(unselect),0
200,76,coding7_q76,v29.1_2020(8),breakout-option,"['[ 8 ] - User Profile [The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc]']","['[ 8 ] - User Profile [The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc]']",SELECT THIS FIELD,1
201,76,coding7_q76,v29.1_2020(8),breakout-option,"['[ 8 ] - User Profile [The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc]']","['[ 8 ] - User Profile [The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc]']",(unselect),0
202,77,coding7_q77,v29.1_2020(9),breakout-option,"['[ 9 ] - IP address and device IDs [Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers needed to establish a connection for the current browsing session]']","['[ 9 ] - IP address and device IDs [Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers needed to establish a connection for the current browsing session]']",SELECT THIS FIELD,1
203,77,coding7_q77,v29.1_2020(9),breakout-option,"['[ 9 ] - IP address and device IDs [Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers needed to establish a connection for the current browsing session]']","['[ 9 ] - IP address and device IDs [Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers needed to establish a connection for the current browsing session]']",(unselect),0
204,78,coding7_q78,v29.1_2020(10),breakout-option,"[""[ 10 ] - Cookies and tracking elements [Identifiers locally stored on user's device by website or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.]""]","[""[ 10 ] - Cookies and tracking elements [Identifiers locally stored on user's device by website or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.]""]",SELECT THIS FIELD,1
205,78,coding7_q78,v29.1_2020(10),breakout-option,"[""[ 10 ] - Cookies and tracking elements [Identifiers locally stored on user's device by website or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.]""]","[""[ 10 ] - Cookies and tracking elements [Identifiers locally stored on user's device by website or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.]""]",(unselect),0
206,79,coding7_q79,v29.1_2020(11),breakout-option,"['[ 11 ] - Computer information [The type of operating system (OS) or web browser that the user uses, or similar computer or device information]']","['[ 11 ] - Computer information [The type of operating system (OS) or web browser that the user uses, or similar computer or device information]']",SELECT THIS FIELD,1
207,79,coding7_q79,v29.1_2020(11),breakout-option,"['[ 11 ] - Computer information [The type of operating system (OS) or web browser that the user uses, or similar computer or device information]']","['[ 11 ] - Computer information [The type of operating system (OS) or web browser that the user uses, or similar computer or device information]']",(unselect),0
208,80,coding7_q80,v29.1_2020(12),breakout-option,['[ 12 ] - Survey data [Any data that is collected through surveys]'],['[ 12 ] - Survey data [Any data that is collected through surveys]'],SELECT THIS FIELD,1
209,80,coding7_q80,v29.1_2020(12),breakout-option,['[ 12 ] - Survey data [Any data that is collected through surveys]'],['[ 12 ] - Survey data [Any data that is collected through surveys]'],(unselect),0
210,81,coding7_q81,v29.1_2020(13),breakout-option,"['[ 13 ] - Generic personal information [No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.]']","['[ 13 ] - Generic personal information [No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.]']",SELECT THIS FIELD,1
211,81,coding7_q81,v29.1_2020(13),breakout-option,"['[ 13 ] - Generic personal information [No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.]']","['[ 13 ] - Generic personal information [No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.]']",(unselect),0
212,82,coding7_q82,v29.1_2020(14),breakout-option,['[ 14 ] - Biometric information'],['[ 14 ] - Biometric information'],SELECT THIS FIELD,1
213,82,coding7_q82,v29.1_2020(14),breakout-option,['[ 14 ] - Biometric information'],['[ 14 ] - Biometric information'],(unselect),0
214,83,coding7_q83,v29.1_2020(15),breakout-option,['[ 15 ] - Other [state in comments]'],['[ 15 ] - Other [state in comments]'],SELECT THIS FIELD,1
215,83,coding7_q83,v29.1_2020(15),breakout-option,['[ 15 ] - Other [state in comments]'],['[ 15 ] - Other [state in comments]'],(unselect),0
